अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
ओण्	 । भ्वा॰	 सेट्	 प॰ । 	ओ॑णृँ॑ 		अपनयने 	०१।	०५२३ ॥
ओलण्ड्	 । चु॰	 सेट्	 उ॰ । 	ओँ॑ल॑डिँ॑ 		[उत्क्षेपने] इत्येके 	१०।	००१४ ॥
कंस्	 । अ॰	 सेट्	 आ॰ । 	क॑सिँ॒ 		गतिशासनयोः 	०२।	००१४ ॥
कक्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑कँ॒ 		लौल्ये 	०१।	००९५ ॥
कख्	 । भ्वा॰	 सेट्	 प॰ । 	क॑खँ॑ 		हसने 	०१।	०१२८ ॥
कख्	 । भ्वा॰	 सेट्	 प॰ । 	क॑खेँ॑ 		हसने 	०१।	०८९३ ॥
कग्	 । भ्वा॰	 सेट्	 प॰ । 	क॑गेँ॑ 		नोच्यते । क्रियासामान्यार्थत्वात् । अनेकार्थत्वादित्यन्ये 	०१।	०९०० ॥
कङ्क्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑किँ॒ 		[गत्यर्थः] 	०१।	००९९ ॥
कच्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑चँ॒ 		बन्धने 	०१।	०१९२ ॥
कज्	 । भ्वा॰	 सेट्	 प॰ । 	क॑जँ॑ 		मदे इत्येके 	०१।	०२६५ ॥
कञ्च्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑चिँ॒ 		[दीप्तिबन्धनयोः] 	०१।	०१९३ ॥
कट्	 । भ्वा॰	 सेट्	 प॰ । 	क॑टीँ॑ 		गतौ 	०१।	०३३० ॥
कट्	 । भ्वा॰	 सेट्	 प॰ । 	क॑टेँ॑ 		वर्षावरणयोः 	०१।	०३५९ ॥
कठ्	 । भ्वा॰	 सेट्	 प॰ । 	क॑ठँ॑ 		कृच्छ्रजीवने 	०१।	०३८५ ॥
कड्	 । तु॰	 सेट्	 प॰ । 	क॑डँ॑ 		मदे 	०६।	०१०८ ॥
कड्	 । भ्वा॰	 सेट्	 प॰ । 	क॑डँ॑ 		मदे 	०१।	०४१७ ॥
कड्ड्	 । भ्वा॰	 सेट्	 प॰ । 	क॑ड्डँ॑ 	(क॑द्डँ॑)	कार्कश्ये 	०१।	०४०४ ॥
कण्	 । भ्वा॰	 सेट्	 प॰ । 	क॑णँ॑ 		[गतौ] 	०१।	०५१७ ॥
कण्	 । भ्वा॰	 सेट्	 प॰ । 	क॑णँ॑ 		[शब्दार्थः] 	०१।	०९०३ ॥
कण्	 । चु॰	 सेट्	 उ॰ । 	क॑णँ॑ 		निमीलने 	१०।	०२४० ॥
कण्ठ्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑ठिँ॒ 		शोके 	०१।	०२९७ ॥
कण्ठ्	 । चु॰	 सेट्	 उ॰ । 	क॑ठिँ॑ 		शोके । प्रायेणोत्पूर्व उत्कण्ठावचनः 	१०।	०३८५ ॥
कण्ड्	 । भ्वा॰	 सेट्	 प॰ । 	क॑डिँ॑ 		[मदे] इत्येके 	०१।	०४१८ ॥
कण्ड्	 । चु॰	 सेट्	 उ॰ । 	क॑डिँ॑ 		खण्डने (भेदने) 	१०।	००६७ ॥
कण्ड्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑डिँ॒ 		मदे 	०१।	०३१६ ॥
कत्त्र (कत्त्र्)	 । चु॰	 सेट्	 उ॰ । 	क॑त्रँ॑ 	(क॑त्त्रँ॑)	शैथिल्ये 	१०।	०४५६ ॥
कत्थ्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑त्थँ॒ 		श्लाघायाम् 	०१।	००३७ ॥
कत्र (कत्र्)	 । चु॰	 सेट्	 उ॰ । 	क॑त्रँ॑ 	(क॑त्त्रँ॑)	शैथिल्ये 	१०।	०४५६ ॥
कथ (कथ्)	 । चु॰	 सेट्	 उ॰ । 	क॑थँ॑ 		वाक्यप्रबन्धे (वाक्यप्रबन्धने) 	१०।	०३८९ ॥
कद्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑दँ॒ 		[[वैक्लव्ये । वैकल्य इत्येके] इत्यन्ये] 	०१।	०८८१ ॥
कद्ड्	 । भ्वा॰	 सेट्	 प॰ । 	क॑ड्डँ॑ 	(क॑द्डँ॑)	कार्कश्ये 	०१।	०४०४ ॥
कन्	 । भ्वा॰	 सेट्	 प॰ । 	क॑नीँ॑ 		दीप्तिकान्तिगतिषु 	०१।	०५३१ ॥
कन्द्	 । भ्वा॰	 सेट्	 प॰ । 	क॑दिँ॑ 		[आह्वाने रोदने च] 	०१।	०८७८ ॥
कन्द्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑दिँ॒ 		[वैक्लव्ये । वैकल्य इत्येके] 	०१।	००७३ ॥
कप्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑पँ॒ 		[कृपायां गतौ च] इत्यन्ये 	०१।	०८७७ ॥
कब्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑बृँ॒ 		वर्णे 	०१।	०४४० ॥
कम्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑मुँ॒ 		कान्तौ (न मित् - १।९४९) 	०१।	०५११ ॥
कम्प्	 । भ्वा॰	 सेट्	 आ॰ । 	क॑पिँ॒ 		चलने 	०१।	०४३५ ॥
कर्ज्	 । भ्वा॰	 सेट्	 प॰ । 	क॑र्जँ॑ 		व्यथने 	०१।	०२६० ॥
कर्ण (कर्ण्)	 । चु॰	 सेट्	 उ॰ । 	क॑र्णँ॑ 		भेदने (इति धात्वन्तरमित्यपरे) 	१०।	०४७० ॥
कर्त (कर्त्)	 । चु॰	 सेट्	 उ॰ । 	क॑र्तँ॑ 		इत्यप्येके 	१०।	०४५७ ॥
