उ॑हिँ॑र् 	*	अर्दने 	*	उह्	*	 । भ्वा॰	*	०८४० ॥	*	 प॰ । 	*	 सेट्
ऊ॑ठँ॑ 	*	उपघाते 	*	ऊठ्	*	 । भ्वा॰	*	०३९१ ॥	*	 प॰ । 	*	 सेट्
ऊ॑नँ॑ 	*	परिहाणे 	*	ऊन (ऊन्)	*	 । चु॰	*	०४३० ॥	*	 उ॰ । 	*	 सेट्
ऊ॑यीँ॒ 	*	तन्तुसन्ताने 	*	ऊय्	*	 । भ्वा॰	*	०५५६ ॥	*	 आ॰ । 	*	 सेट्
ऊ॑र्जँ॑ 	*	बलप्राणनयोः 	*	ऊर्ज्	*	 । चु॰	*	००२३ ॥	*	 उ॰ । 	*	 सेट्
ऊ॑र्णु॑ञ् 	*	आच्छादने 	*	ऊर्णु	*	 । अ॰	*	००३४ ॥	*	 उ॰ । 	*	 सेट्
ऊ॑षँ॑ 	*	रुजायाम् 	*	ऊष्	*	 । भ्वा॰	*	०७७९ ॥	*	 प॰ । 	*	 सेट्
ऊ॑हँ॒ 	*	वितर्के 	*	ऊह्	*	 । भ्वा॰	*	०७३५ ॥	*	 आ॰ । 	*	 सेट्
ऋ॒ 	*	[गतौ] 	*	ऋ	*	 । जु॰	*	००१७ ॥	*	 प॰ । 	*	 अनिट्
ऋ॑ 	*	[हिंसायाम्] [इत्येके] 	*	ऋ	*	 । स्वा॰	*	००३८ ॥	*	 प॰ । 	*	 सेट्
ऋ॒ 	*	गतिप्रापणयोः 	*	ऋ	*	 । भ्वा॰	*	१०८६ ॥	*	 प॰ । 	*	 अनिट्
ऋ॑चँ॑ 	*	स्तुतौ 	*	ऋच्	*	 । तु॰	*	००२२ ॥	*	 प॰ । 	*	 सेट्
ऋ॑छँ॑ 	*	गतीन्द्रियप्रलयमूर्तिभावेषु 	*	ऋछ्	*	 । तु॰	*	००१६ ॥	*	 प॰ । 	*	 सेट्
ऋ॑जँ॒ 	*	गतिस्थानार्जनोपार्जनेषु 	*	ऋज्	*	 । भ्वा॰	*	०२०० ॥	*	 आ॰ । 	*	 सेट्
ऋ॑जिँ॒ 	*	[भर्जने] 	*	ऋञ्ज्	*	 । भ्वा॰	*	०२०१ ॥	*	 आ॰ । 	*	 सेट्
ऋ॑णुँ॒॑ 	*	गतौ 	*	ऋण्	*	 । त॰	*	०००५ ॥	*	 उ॰ । 	*	 सेट्
ऋ॑धुँ॑ 	*	वृद्धौ 	*	ऋध्	*	 । स्वा॰	*	००२७ ॥	*	 प॰ । 	*	 सेट्
ऋ॑धुँ॑ 	*	वृद्धौ 	*	ऋध्	*	 । दि॰	*	०१६० ॥	*	 प॰ । 	*	 सेट्
ऋ॑फँ॑ 	*	[हिंसायाम्] 	*	ऋफ्	*	 । तु॰	*	००४० ॥	*	 प॰ । 	*	 सेट्
ऋ॑म्फँ॑ 	*	हिंसायाम् 	*	ऋम्फ्	*	 । तु॰	*	००४१ ॥	*	 प॰ । 	*	 सेट्
ऋ॑षीँ॑ 	*	गतौ 	*	ऋष्	*	 । तु॰	*	०००७ ॥	*	 प॰ । 	*	 सेट्
ॠ 	*	गतौ 	*	ॠ	*	 । क्र्या॰	*	००३२ ॥	*	 प॰ । 	*	 सेट्
ए॑जृँ॒ 	*	[दीप्तौ] 	*	एज्	*	 । भ्वा॰	*	०२०३ ॥	*	 आ॰ । 	*	 सेट्
ए॑जृँ॑ 	*	कम्पने 	*	एज्	*	 । भ्वा॰	*	०२६७ ॥	*	 प॰ । 	*	 सेट्
