250	भ्वादिः	ऋजँ॒ ( ऋज् ) 	गतौ 	सेट् 	आ.प 	100	104	106
251	भ्वादिः	ऋजँ॒ ( ऋज् ) 	स्थानार्जने 	सेट् 	आ.प 	100	104	106
252	भ्वादिः	ऋजिँ॒(ऋज्) 	भर्जने 	सेट् 	आ.प 	101	105	107
253	भ्वादिः	भृजीँ॒ ( भृज् ) 	भर्जने 	सेट् 	आ.प 	101	105	107
254	भ्वादिः	एजृँ॒ ( एज् ) 	दीप्तौ 	सेट् 	आ.प 	102	106	108
255	भ्वादिः	भ्राजृँ॒ ( भ्राज् ) 	दीप्तौ 	सेट् 	आ.प 	102	106	108
256	भ्वादिः	भ्रेजृँ॒(भ्रेज्) 	दीप्तौ 	सेट् 	आ.प 	102	106	108
257	भ्वादिः	ईजँ॒(ईज्) 	कुत्सायाम् 	सेट् 	आ.प 	103	107	109
258	भ्वादिः	ईजँ॒(ईज्) 	गतौ 	सेट् 	आ.प 	103	107	109
259	भ्वादिः	शुचँ ( शुच् ) 	शोके 	सेट् 	प.प 	104	108	110
260	भ्वादिः	कुचँ ( कुच् ) 	तारे 	सेट् 	प.प 	X	109	111
261	भ्वादिः	कुचँ ( कुच् ) 	शब्दे 	सेट् 	प.प 	X	109	111
262	भ्वादिः	कुन्चँ(कुन्च्) 	अल्पीभावे 	सेट् 	प.प 	105	111	112
263	भ्वादिः	कुन्चँ(कुन्च्) 	कौटिल्ये 	सेट् 	प.प 	105	X	112
264	भ्वादिः	क्रुन्चँ(क्रुन्च्) 	अल्पीभावे 	सेट् 	प.प 	105	X	112
265	भ्वादिः	क्रुन्चँ(क्रुन्च्) 	कौटिल्ये 	सेट् 	प.प 	105	X	112
266	भ्वादिः	क्रुन्चँ(क्रुन्च्) 	गतौ 	सेट् 	प.प 	X	110	X
